*** At this point, no more customer can enter the grocery store ***
customer 21 enters the frozen section, there are 15 in the frozen area
customer 28 enters the frozen section, there are 16 in the frozen area
customer 5 enters the general section, there are 25 in the general area
customer 48 enters the general section, there are 24 in the general area
customer 35 enters the frozen section, there are 18 in the frozen area
customer 49 enters the general section, there are 25 in the general area
customer 0 enters the frozen section, there are 14 in the frozen area
customer 23 enters the general section, there are 25 in the general area
customer 13 enters the frozen section, there are 19 in the frozen area
customer 3 enters the frozen section, there are 17 in the frozen area
customer 15 enters the frozen section, there are 20 in the frozen area
customer 39 enters the general section, there are 21 in the general area
customer 10 enters the general section, there are 22 in the general area
customer 45 enters the general section, there are 23 in the general area
customer 44 enters the general section, there are 24 in the general area
customer 43 enters the general section, there are 25 in the general area
customer 6 enters the frozen section, there are 21 in the frozen area
customer 32 enters the frozen section, there are 22 in the frozen area
customer 2 enters the frozen section, there are 23 in the frozen area
customer 19 enters the frozen section, there are 24 in the frozen area
customer 18 enters the frozen section, there are 25 in the frozen area
customer 40 enters the general section, there are 21 in the general area
customer 42 enters the general section, there are 22 in the general area
customer 41 enters the general section, there are 23 in the general area
customer 16 enters the general section, there are 24 in the general area
customer 20 enters the general section, there are 25 in the general area
customer 31 enters the frozen section, there are 26 in the frozen area
customer 34 enters the frozen section, there are 27 in the frozen area
customer 36 enters the frozen section, there are 28 in the frozen area
customer 33 enters the frozen section, there are 29 in the frozen area
customer 22 enters the frozen section, there are 30 in the frozen area
customer 47 enters the frozen section, there are 30 in the frozen area
customer 29 enters the frozen section, there are 30 in the frozen area
customer 8 enters the frozen section, there are 30 in the frozen area
customer 37 enters the frozen section, there are 30 in the frozen area
customer 17 enters the frozen section, there are 30 in the frozen area
customer 12 enters the cashier section, there are 8 people at the cash register
customer 9 enters the cashier section, there are 9 people at the cash register
customer 7 enters the cashier section, there are 10 people at the cash register
customer 1 enters the frozen section, there are 30 in the frozen area
customer 4 enters the cashier section, there are 1 people at the cash register
customer 30 enters the cashier section, there are 3 people at the cash register
customer 24 enters the cashier section, there are 6 people at the cash register
customer 11 enters the cashier section, there are 4 people at the cash register
customer 38 enters the cashier section, there are 5 people at the cash register
customer 23 enters the frozen section, there are 30 in the frozen area
customer 49 enters the frozen section, there are 30 in the frozen area
customer 48 enters the frozen section, there are 30 in the frozen area
customer 5 enters the frozen section, there are 29 in the frozen area
customer 26 enters the cashier section, there are 7 people at the cash register
customer 46 enters the cashier section, there are 2 people at the cash register
customer 27 enters the cashier section, there are 10 people at the cash register
customer 25 enters the cashier section, there are 10 people at the cash register
customer 39 enters the frozen section, there are 30 in the frozen area
customer 10 enters the frozen section, there are 30 in the frozen area
customer 14 enters the cashier section, there are 10 people at the cash register
customer 45 enters the frozen section, there are 30 in the frozen area
customer 21 enters the cashier section, there are 10 people at the cash register
customer 44 enters the frozen section, there are 30 in the frozen area
customer 43 enters the frozen section, there are 30 in the frozen area
customer 28 enters the cashier section, there are 10 people at the cash register
customer 35 enters the cashier section, there are 10 people at the cash register
customer 40 enters the frozen section, there are 30 in the frozen area
customer 0 enters the cashier section, there are 10 people at the cash register
customer 42 enters the frozen section, there are 30 in the frozen area
customer 13 enters the cashier section, there are 10 people at the cash register
customer 41 enters the frozen section, there are 30 in the frozen area
customer 3 enters the cashier section, there are 10 people at the cash register
customer 16 enters the frozen section, there are 30 in the frozen area
customer 15 enters the cashier section, there are 10 people at the cash register
customer 20 enters the frozen section, there are 30 in the frozen area
customer 11 left the store
customer 38 left the store
customer 7 left the store
customer 9 left the store
customer 26 left the store
customer 46 left the store
customer 12 left the store
customer 30 left the store
customer 24 left the store
customer 4 left the store
customer 25 left the store
customer 32 enters the cashier section, there are 10 people at the cash register
customer 6 enters the cashier section, there are 9 people at the cash register
customer 27 left the store
customer 19 enters the cashier section, there are 10 people at the cash register
customer 21 left the store
customer 34 enters the cashier section, there are 9 people at the cash register
customer 2 enters the cashier section, there are 10 people at the cash register
customer 14 left the store
customer 33 enters the cashier section, there are 10 people at the cash register
customer 3 left the store
customer 22 enters the cashier section, there are 10 people at the cash register
customer 36 enters the cashier section, there are 10 people at the cash register
customer 13 left the store
customer 31 enters the cashier section, there are 9 people at the cash register
customer 18 enters the cashier section, there are 10 people at the cash register
customer 28 left the store
customer 0 left the store
customer 35 left the store
customer 15 left the store
customer 32 left the store
customer 6 left the store
customer 33 left the store
customer 2 left the store
customer 34 left the store
customer 19 left the store
customer 22 left the store
customer 36 left the store
customer 31 left the store
customer 18 left the store
customer 47 enters the cashier section, there are 1 people at the cash register
customer 29 enters the cashier section, there are 2 people at the cash register
customer 8 enters the cashier section, there are 3 people at the cash register
customer 37 enters the cashier section, there are 4 people at the cash register
customer 17 enters the cashier section, there are 5 people at the cash register
customer 1 enters the cashier section, there are 6 people at the cash register
customer 23 enters the cashier section, there are 7 people at the cash register
customer 49 enters the cashier section, there are 8 people at the cash register
customer 48 enters the cashier section, there are 9 people at the cash register
customer 5 enters the cashier section, there are 10 people at the cash register
customer 47 left the store
customer 37 left the store
customer 8 left the store
customer 29 left the store
customer 17 left the store
customer 39 enters the cashier section, there are 6 people at the cash register
customer 10 enters the cashier section, there are 7 people at the cash register
customer 1 left the store
customer 45 enters the cashier section, there are 7 people at the cash register
customer 44 enters the cashier section, there are 8 people at the cash register
customer 43 enters the cashier section, there are 9 people at the cash register
customer 40 enters the cashier section, there are 10 people at the cash register
customer 23 left the store
customer 42 enters the cashier section, there are 10 people at the cash register
customer 49 left the store
customer 48 left the store
customer 41 enters the cashier section, there are 9 people at the cash register
customer 5 left the store
customer 16 enters the cashier section, there are 9 people at the cash register
customer 20 enters the cashier section, there are 10 people at the cash register
customer 10 left the store
customer 39 left the store
customer 45 left the store
customer 44 left the store
customer 43 left the store
customer 40 left the store
customer 42 left the store
customer 41 left the store
customer 16 left the store
customer 20 left the store
